entity1,type1,entity2,type2
Michael H. Fuchs,Name,U.S. Department of State,Org
Recept Tayyip Erdogan,Name,Der Spiegel,Org
Recept Tayyip Erdogan,Name,Spiegel Online,Org
Obama,Name,Democratic,Org
Huckabee,Name,Gingrich,Org
Romney,Name,Daniels,Org
Romney,Name,Gingrich,Org
Rahm Emanuel,Name,Hitlers T,Org
McGuinness,Name,St Andrews,Org
Palin,Name,Facebook,Org
Charles Grassley,Name,Senate Finance Committee,Org
Liz,Name,Keep America Safe,Org
Philip Crowley,Name,State Department,Org
Hillary Rodham Clintons,Name,State,Org
Biden,Name,MSNBC,Org
Mark Sedwill,Name,NATO,Org
Chernick,Name,Fairtmook Foundation,Org
David H. Petraeus,Name,U.S. Central Command,Org
Obama,Name,Defense,Org
Rahm Emanuel,Name,White House,Org
Jalil,Name,NTC,Org
Karzai,Name,Walter Reed Army Medical Center,Org
Obama,Name,Congress,Org
Ali Tarhouni,Name,Muslim Brotherhood,Org
DeMint,Name,Foreign Relations Committee,Org
Robinson,Name,BBC,Org
John Manion,Name,NENA,Org
Brooke Shearer,Name,International Center for Research of Women,Org
Brooke Shearer,Name,ICRW,Org
Melanne S. Verveer,Name,Global Women's Issues U.S. Department,Org
Carter,Name,CNN,Org
Ralph Nader,Name,Dow Chemical,Org
Powell,Name,U.S. Chamber of Commerce,Org
Fezzan,Name,GNC,Org
Fezzan,Name,Tripolitania,Org
Netanyahu,Name,Washington Post,Org
Netanyahu,Name,Obamas,Org
Judith,Name,Muslim,Org
Jacqueline Newmyer,Name,Long Term Strategy Group,Org
Avner Cohen,Name,James Martin Center for Nonproliferation Studies,Org
Paterson,Name,WJC,Org
Ben Bemanke,Name,Federal Reserve Board,Org
Boehner,Name,DNC,Org
Jeff Bader,Name,National Security Council,Org
Jeff Bader,Name,Campbell,Org
Huma,Name,Blair House,Org
Allen Drury,Name,Senate,Org
Tony,Name,Office,Org
Karl Rove,Name,Chamber of Commerce,Org
Geller,Name,New York Times,Org
Petraeus,Name,CIA,Org
Arianna Huffington,Name,University of Louisville Kentucky Author Forum,Org
Mitch McConnell,Name,GOP,Org
Rascon,Name,Associated Press,Org
Eliot Shapleigh,Name,FBI,Org
Obama,Name,White House,Org
George Yeos,Name,Lee Kuan Yew School of Public Policy,Org
Frazer,Name,DUP,Org
Benjamin,Name,Amb,Org
Hillary Clinton,Name,State,Org
Hillary Clinton,Name,United Nations Security Council,Org
Forman,Name,Maya Angelou Public Charter School Board of Directors,Org
Richard Downie,Name,Center for Strategic and International Studies,Org
Ivo H. Daaider,Name,NATO,Org
Obama,Name,Tea Party,Org
Carlyle,Name,Boeing,Org
Carlyle,Name,Blackstone,Org
Carlyle,Name,AECOM,Org
Carlyle,Name,Alcoa,Org
John Ging,Name,UNRWA,Org
Mother Teresa,Name,Roman Catholic,Org
Alan Bersin,Name,DHS,Org
Joe,Name,IFI,Org
Janua,Name,Mills,Org
Obama,Name,New York Times,Org
Steve Clemons,Name,New America Foundation,Org
Nancy Pelosi,Name,House Appropriations Committee,Org
Lal Masjid,Name,Pakistan Taliban,Org
Darling,Name,Sky News,Org
Haqqani,Name,ISI,Org
Brown,Name,House of Commons Wednesday,Org
Shah,Name,USDA,Org
Shah,Name,Bill & Melinda Gates Foundation,Org
Faisal Shahzad,Name,Taliban,Org
Pat Lang,Name,Wash Post,Org
Kelly,Name,Cingular Xpress Mail,Org
Cheryl D,Name,Mills,Org
John Boehner,Name,House,Org
Stephen Hesford,Name,Labour,Org
Stephen Hesford,Name,Wirral West,Org
Brown,Name,Wirral West,Org
Osama Bin Laden,Name,IDF,Org
Obama,Name,KWIN-uh-pe-ack) University,Org
Obama,Name,Quinnipiac,Org
Lee Fisher,Name,Ohios U.S. Senate,Org
Ronald L. Burgess,Name,Senate Armed Services Committee,Org
L. Burgess Jr.,Name,Senate Armed Services Committee,Org
James E. Cartwright,Name,Joint Chiefs of Staff,Org
Alan McFarland,Name,UUP,Org
Lady Hermon,Name,UUP,Org
Henry McDonaid,Name,UUP,Org
Trimble,Name,UUP,Org
Trimble,Name,Stormont assembly,Org
Andrew Rawnsley,Name,Labour,Org
Jalaluddin Haqqani,Name,Taliban,Org
Krista Gesaman,Name,Citizens United v. Federal Elections Commission,Org
Ronnie Heyman,Name,Benjamin N. Cardozo School of Law,Org
Irving Kristol,Name,American Enterprise Institute,Org
McChrystal,Name,NATO,Org
Jack Murtha,Name,Congress,Org
Jack Murtha,Name,Marine Corps,Org
Armey,Name,FreedomWorks,Org
Richard Wolfe,Name,Newsweek,Org
Glen,Name,Navy,Org
Sarah Palin,Name,Tea Party,Org
